Year,Euro area,Austria,Belgium,Croatia,Cyprus,Estonia,Finland,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Portugal,Slovakia,Slovenia,Spain,Bulgaria,Czechia,Denmark,Hungary,Poland,Romania,Sweden
2017,2.743409666,2.406199232,1.47445496,3.280958129,5.750832366,5.312773629,3.304297822,2.284993765,3.007632486,1.473097414,10.04892212,1.689847822,3.113653424,4.704234635,1.317112078,12.9713425,2.781901989,3.314720889,2.874733275,5.174315435,2.896077979,,,,,,,
2018,1.745784187,2.377510324,1.877969241,2.904681357,6.271663601,3.743644237,1.192967009,1.585817462,1.132222779,2.064668778,7.544733805,0.6799399271,4.072718864,4.832314808,1.611298591,7.189214792,2.254426797,2.946282441,4.062119819,4.379222196,2.395420949,,,,,,,
2019,1.642115544,1.783824846,2.442894189,3.100439162,5.875595834,3.623061254,1.349726463,2.074712613,1.027662451,2.277171961,5.040845251,0.4170652942,1.053426154,4.722360638,2.749319826,4.085055822,2.296986941,2.745684721,2.2758991,3.505164712,1.961187056,,,,,,,
2020,-6.154628365,-6.531113202,-4.792981805,-8.311642648,-3.220630186,-2.540219167,-2.490138825,-7.592625162,-4.458967008,-9.196226489,7.157755537,-8.951931557,-3.229402631,0.04798091912,-0.5100540063,-3.358450979,-3.824978799,-8.204632035,-2.585512417,-4.085016612,-10.94008981,,,,,,,
2021,6.331665538,5.02080892,6.207597277,12.63170033,11.38818927,7.165062236,2.67674749,6.828278626,3.624933673,8.654496402,16.25526916,8.808230265,6.685424551,6.361089222,6.929734241,13.29945166,6.206595774,5.558757489,5.699592633,8.389621449,6.683144205,,,,,,,
2022,3.702287545,5.359312144,4.259359453,7.28793652,7.204867807,-0.03811845486,0.7630249957,2.625545735,1.445665238,5.743653015,8.619546144,4.974767488,2.58395845,2.516230425,-1.09505291,4.269324136,5.005441551,6.985841984,0.4373595086,2.699176272,6.179328743,,,,,,,
2023,0.5014724121,-0.8543110158,1.20167646,3.31839688,2.763909754,-3.105436798,-0.9481860786,1.113519378,-0.06196009142,2.332113734,-5.529864519,0.8141702429,2.234163883,0.4279673467,-0.69363243,6.796879125,0.08494470047,2.613128497,2.168149116,2.112736967,2.675613284,,,,,,,
2024,0.8055811889,-1.335989859,1.018908801,3.927409609,3.448061197,-0.2193433188,-0.1331843771,1.139331724,-0.2050694283,2.271756959,1.221023987,0.5195800793,-0.3792846967,2.72586519,1.031694507,5.968864883,0.9749140064,1.903135288,2.061677718,1.590919786,3.150186475,2.8,1.1,3.7,0.5,2.9,0.8,1.0
2025,1.237374248,-0.1070383108,1.028561403,3.2691915,3.09923343,1.525939387,0.5299958523,0.6260424108,-0.01548853155,2.26,5.82656993,0.6314632104,1.208981305,2.796767543,1.807646727,4.011615458,1.082466798,1.57977696,1.190784087,1.250667183,2.435380129,2.0,1.9,3.6,0.8,3.3,1.4,1.1
2026,0.9870505406,0.8948395333,1.055463276,2.932708754,2.954444484,2.330422381,1.452504078,0.9819961758,0.7424055359,2.04,2.851021414,0.8125053496,2.84932654,2.84623459,2.121506772,3.498775085,0.9049222748,2.223324958,1.63158768,2.350852222,1.783586231,2.1,2.1,2.0,2.5,3.0,2.2,1.9
2027,1.297243469,1.094696395,1.135871477,2.470379368,3.034787848,2.762405345,1.631477417,1.179592471,1.209503307,2.056,3.179195925,0.6531340633,3.227980233,2.936726109,2.531770039,3.259758596,1.132518832,1.671514015,2.127288991,2.350815183,1.712877196,,,,,,,
